"package","class"
"a4Base","limma"
"a4Base","ExpressionSetWithComputation"
"a4Reporting","annotationTable"
"abseqR","AbSeqCRep"
"ABSSeq","SumInfo"
"ABSSeq","ABSDataSet"
"ACME","ACMESet"
"ACME","ACMECalcSet"
"ACME","aGFF"
"ACME","aGFFCalc"
"ADAM","ECGMainData"
"ADAPT","DAresult"
"adductomicsR","AdductSpec"
"adverSCarial","advChar"
"adverSCarial","advList"
"affy","AffyBatch"
"affy","ProbeSet"
"affy","ProgressBarText"
"affyILM","ILM"
"affyPLM","PLMset"
"AffyRNADegradation","AffyDegradationBatch"
"AgiMicroRna","uRNAList"
"tests","MyClass"
"alabaster.files","FileReference"
"alabaster.files","BamFileReference"
"alabaster.files","BcfFileReference"
"alabaster.files","BigBedFileReference"
"alabaster.files","BigWigFileReference"
"alabaster.files","BedFileReference"
"alabaster.files","GffFileReference"
"alabaster.files","GmtFileReference"
"alabaster.files","FastaFileReference"
"alabaster.files","FastqFileReference"
"alabaster.files","Wrapper"
"alabaster.files","IndexedWrapper"
"alabaster.files","CompressedWrapper"
"alabaster.files","CompressedIndexedWrapper"
"alabaster.files","BamWrapper"
"alabaster.files","BamIndexWrapper"
"alabaster.files","BedWrapper"
"alabaster.files","TabixIndexWrapper"
"alabaster.files","FastaWrapper"
"alabaster.files","FastqWrapper"
"alabaster.files","FaIndexWrapper"
"alabaster.files","BgzipIndexWrapper"
"alabaster.files","VcfWrapper"
"alabaster.files","GffWrapper"
"alabaster.files","GmtWrapper"
"alabaster.files","BigWigWrapper"
"alabaster.files","BigBedWrapper"
"alabaster.matrix","WrapperArraySeed"
"alabaster.matrix","WrapperArray"
"alabaster.matrix","AmalgamatedArraySeed"
"alabaster.matrix","AmalgamatedArray"
"alabaster.matrix","AmalgamatedMatrix"
"alabaster.matrix","ReloadedArraySeed"
"alabaster.matrix","ReloadedArray"
"alabaster.matrix","ReloadedMatrix"
"alabaster.matrix","DelayedMask"
"tests","SuperSeed"
"tests","TestColMatrix"
"tests","TestRowMatrix"
"tests","TestSpatialImage"
"ALDEx2","aldex.clr"
"AllelicImbalance","ASEset"
"AllelicImbalance","DetectedAI"
"AllelicImbalance","GlobalAnalysis"
"AllelicImbalance","LinkVariantAlmlof"
"AllelicImbalance","RegionSummary"
"AllelicImbalance","RiskVariant"
"altcdfenvs","AffyProbesMatch"
"altcdfenvs","CdfEnvAffy"
"amplican","AlignmentsExperimentSet"
"annaffy","aafList"
"annaffy","aafProbe"
"annaffy","aafSymbol"
"annaffy","aafDescription"
"annaffy","aafChromosome"
"annaffy","aafChromLoc"
"annaffy","aafGenBank"
"annaffy","aafLocusLink"
"annaffy","aafCytoband"
"annaffy","aafPubMed"
"annaffy","aafGO"
"annaffy","aafGOItem"
"annaffy","aafPathway"
"annaffy","aafPathwayItem"
"annaffy","aafIntensity"
"annaffy","aafSigned"
"annaffy","aafTable"
"annotate","chromLocation"
"annotate","homoData"
"annotate","HTMLPage"
"annotate","FramedHTMLPage"
"annotate","pubMedAbst"
"AnnotationDbi","Bimap"
"AnnotationDbi","FlatBimap"
"AnnotationDbi","AnnObj"
"AnnotationDbi","AnnDbObj"
"AnnotationDbi","AnnDbTable"
"AnnotationDbi","L2Rlink"
"AnnotationDbi","AnnDbBimap"
"AnnotationDbi","GoAnnDbBimap"
"AnnotationDbi","Go3AnnDbBimap"
"AnnotationDbi","GOTermsAnnDbBimap"
"AnnotationDbi","AnnDbMap"
"AnnotationDbi","IpiAnnDbMap"
"AnnotationDbi","AgiAnnDbMap"
"AnnotationDbi","ProbeAnnDbBimap"
"AnnotationDbi","ProbeAnnDbMap"
"AnnotationDbi","ProbeIpiAnnDbMap"
"AnnotationDbi","ProbeGo3AnnDbBimap"
"AnnotationDbi","AnnotFrame"
"AnnotationDbi","GOFrame"
"AnnotationDbi","GOAllFrame"
"AnnotationDbi","KEGGFrame"
"AnnotationDbi","GOTerms"
"AnnotationHub","AnnotationHub"
"AnnotationHub","AnnotationHubResource"
"AnnotationHub","FaFileResource"
"AnnotationHub","BamFileResource"
"AnnotationHub","RdsResource"
"AnnotationHub","RDSResource"
"AnnotationHub","RdaResource"
"AnnotationHub","data.frameResource"
"AnnotationHub","GRangesResource"
"AnnotationHub","VCFResource"
"AnnotationHub","ChainFileResource"
"AnnotationHub","TwoBitFileResource"
"AnnotationHub","GTFFileResource"
"AnnotationHub","GFF3FileResource"
"AnnotationHub","BigWigFileResource"
"AnnotationHub","dbSNPVCFFileResource"
"AnnotationHub","SQLiteFileResource"
"AnnotationHub","GRASPResource"
"AnnotationHub","ZipResource"
"AnnotationHub","ChEAResource"
"AnnotationHub","BioPaxResource"
"AnnotationHub","PazarResource"
"AnnotationHub","CSVtoGrangesResource"
"AnnotationHub","ExpressionSetResource"
"AnnotationHub","GDSResource"
"AnnotationHub","H5FileResource"
"AnnotationHub","CompDbResource"
"AnnotationHub","FilePathResource"
"AnnotationHub","dcfResource"
"AnnotationHub","kerasHDF5ModelResource"
"AnnotationHub","kerasHDF5ModelWeightsResource"
"AnnotationHub","BEDFileResource"
"AnnotationHub","UCSCBroadPeakResource"
"AnnotationHub","UCSCNarrowPeakResource"
"AnnotationHub","UCSCBEDRnaElementsResource"
"AnnotationHub","UCSCGappedPeakResource"
"AnnotationHub","EnsDbResource"
"AnnotationHub","EpiMetadataResource"
"AnnotationHub","EpiExpressionTextResource"
"AnnotationHub","EpichmmModelsResource"
"AnnotationHub","EpigenomeRoadmapFileResource"
"AnnotationHub","EpigenomeRoadmapNarrowAllPeaksResource"
"AnnotationHub","EpigenomeRoadmapNarrowFDRResource"
"AnnotationHub","Hub"
"AnnotationHub","mzRpwizResource"
"AnnotationHub","mzRidentResource"
"AnnotationHub","MSnSetResource"
"AnnotationHub","AAStringSetResource"
"AnnotationHub","AnnotationHub"
"AnnotationHub","AnnotationHubResource"
"AnnotationHub","FaFileResource"
"AnnotationHub","BamFileResource"
"AnnotationHub","RdsResource"
"AnnotationHub","RDSResource"
"AnnotationHub","RdaResource"
"AnnotationHub","data.frameResource"
"AnnotationHub","GRangesResource"
"AnnotationHub","VCFResource"
"AnnotationHub","ChainFileResource"
"AnnotationHub","TwoBitFileResource"
"AnnotationHub","GTFFileResource"
"AnnotationHub","GFF3FileResource"
"AnnotationHub","BigWigFileResource"
"AnnotationHub","dbSNPVCFFileResource"
"AnnotationHub","SQLiteFileResource"
"AnnotationHub","GRASPResource"
"AnnotationHub","ZipResource"
"AnnotationHub","ChEAResource"
"AnnotationHub","BioPaxResource"
"AnnotationHub","PazarResource"
"AnnotationHub","CSVtoGrangesResource"
"AnnotationHub","ExpressionSetResource"
"AnnotationHub","GDSResource"
"AnnotationHub","H5FileResource"
"AnnotationHub","CompDbResource"
"AnnotationHub","FilePathResource"
"AnnotationHub","dcfResource"
"AnnotationHub","kerasHDF5ModelResource"
"AnnotationHub","kerasHDF5ModelWeightsResource"
"AnnotationHub","BEDFileResource"
"AnnotationHub","UCSCBroadPeakResource"
"AnnotationHub","UCSCNarrowPeakResource"
"AnnotationHub","UCSCBEDRnaElementsResource"
"AnnotationHub","UCSCGappedPeakResource"
"AnnotationHub","EnsDbResource"
"AnnotationHub","EpiMetadataResource"
"AnnotationHub","EpiExpressionTextResource"
"AnnotationHub","EpichmmModelsResource"
"AnnotationHub","EpigenomeRoadmapFileResource"
"AnnotationHub","EpigenomeRoadmapNarrowAllPeaksResource"
"AnnotationHub","EpigenomeRoadmapNarrowFDRResource"
"AnnotationHub","Hub"
"AnnotationHub","mzRpwizResource"
"AnnotationHub","mzRidentResource"
"AnnotationHub","MSnSetResource"
"AnnotationHub","AAStringSetResource"
"AnnotationHubData","AnnotationHubMetadata"
"AnnotationHubData","HubMetadata"
"AnnotationHubData","ImportPreparer"
"AnnotationHubData","UCSCTrackImportPreparer"
"AnnotationHubData","UCSCFullTrackImportPreparer"
"anota2seq","Anota2seqQualityControl"
"anota2seq","Anota2seqResidOutlierTest"
"anota2seq","Anota2seqOutput"
"anota2seq","Anota2seqSelectedOutput"
"anota2seq","Anota2seqMRNAabundanceOutput"
"anota2seq","Anota2seqDataSet"
"antiProfiles","AntiProfileStats"
"antiProfiles","AntiProfile"
"antiProfiles","TissueSpecAntiProfile"
"AnVIL","MyService"
"tests","MyService"
"AnVILAz","azure"
"AnVILBase","Platform"
"AnVILBilling","avReckoningRequest"
"AnVILBilling","avReckoning"
"AnVILGCP","gcp"
"APL","cacomp"
"arrayMvout","arrOutStruct"
"arrayQualityMetrics","svgParameters"
"arrayQualityMetrics","outlierDetection"
"arrayQualityMetrics","aqmReportModule"
"ASEB","SequenceInfo"
"ASICS","PureLibrary"
"ASpediaFI","ASpediaFI"
"ATACseqTFEA","TFEAresults"
"atena","QuantifyParam"
"atena","ERVmapParam"
"atena","TelescopeParam"
"atena","TEtranscriptsParam"
"atena","atenaParam"
"attract","AttractorModuleSet"
"attract","SynExpressionSet"
"AUCell","aucellResults"
"bacon","Bacon"
"ballgown","ballgown"
"BANDITS","BANDITS_data"
"BANDITS","BANDITS_test"
"bandle","bandleChains"
"bandle","bandleSummary"
"bandle","bandleSummaries"
"bandle","bandleParams"
"bandle","nicheParam"
"bandle","nicheParams"
"bandle","bandleChain"
"bandle","gpParams"
"basecallQC","BCL2FastQparams"
"basecallQC","basecallQC"
"BaseSpaceR","appResultItem"
"BaseSpaceR","appResultCollection"
"BaseSpaceR","AppResults"
"BaseSpaceR","AppResultsSummary"
"BaseSpaceR","appSessionItem"
"BaseSpaceR","AppSessions"
"BaseSpaceR","ResponseStatus"
"BaseSpaceR","fileItem"
"BaseSpaceR","fileCollection"
"BaseSpaceR","Files"
"BaseSpaceR","FilesSummary"
"BaseSpaceR","genomeItem"
"BaseSpaceR","genomeCollection"
"BaseSpaceR","Genomes"
"BaseSpaceR","GenomesSummary"
"BaseSpaceR","staticHref"
"BaseSpaceR","Href"
"BaseSpaceR","projectItem"
"BaseSpaceR","projectCollection"
"BaseSpaceR","Projects"
"BaseSpaceR","ProjectsSummary"
"BaseSpaceR","Property"
"BaseSpaceR","PropertyCollection"
"BaseSpaceR","Item"
"BaseSpaceR","Collection"
"BaseSpaceR","Response"
"BaseSpaceR","runItem"
"BaseSpaceR","runCollection"
"BaseSpaceR","Runs"
"BaseSpaceR","RunsSummary"
"BaseSpaceR","sampleItem"
"BaseSpaceR","sampleCollection"
"BaseSpaceR","Samples"
"BaseSpaceR","SamplesSummary"
"BaseSpaceR","ServiceURI"
"BaseSpaceR","userItem"
"BaseSpaceR","userCollection"
"BaseSpaceR","Users"
"Basic4Cseq","Data4Cseq"
"BASiCS","BASiCS_ResultsDE"
"BASiCS","BASiCS_Result"
"BASiCS","BASiCS_ResultDE"
"BASiCS","BASiCS_ResultVG"
"BasicSTARRseq","STARRseqData"
"batchelor","BatchelorParam"
"batchelor","ClassicMnnParam"
"batchelor","FastMnnParam"
"batchelor","RescaleParam"
"batchelor","RegressParam"
"batchelor","NoCorrectParam"
"batchelor","MNN_treenode"
"baySeq","densityFunction"
"baySeq","countData"
"baySeq","pairedData"
"BCRANK","BCRANKmatch"
"BCRANK","BCRANKsearch"
"BCRANK","BCRANKresult"
"beachmat","UnknownMatrix"
"tests","UnknownMatrix"
"beadarray","beadLevelData"
"beadarray","BeadLevelList"
"beadarray","illuminaChannel"
"beadarray","ExpressionSetIllumina"
"beadarray","limmaResults"
"beadarray","beadRegistrationData"
"beadarraySNP","SnpSetIllumina"
"beadarraySNP","SnpSetSegments"
"beadarraySNP","QCIllumina"
"betaHMM","betaHMMResults"
"betaHMM","dmrResults"
"betaHMM","dmcResults"
"betaHMM","threshold_Results"
"BgeeDB","topAnatData"
"bioassayR","BioassayDB"
"bioassayR","bioassay"
"bioassayR","bioassaySet"
"Biobase","foo"
"Biobase","bar"
"Biobase","baz"
"inst","SwirlSet"
"inst","ExtraSlotSet"
"inst","ExtraSlotSet"
"inst","ExtraSlotSet"
"inst","ExtraSlotSet"
"inst","ExtraSlotExpressionSet"
"inst","ExtraSlotExpressionSet"
"inst","ExtraSlotExpressionSet"
"inst","A"
"inst","A"
"inst","A"
"inst","B"
"Biobase","aggregator"
"Biobase","container"
"Biobase","phenoData"
"Biobase","MIAxE"
"Biobase","MIAME"
"Biobase","annotatedDataset"
"Biobase","AnnotatedDataFrame"
"Biobase","eSet"
"Biobase","ExpressionSet"
"Biobase","NChannelSet"
"Biobase","MultiSet"
"Biobase","SnpSet"
"Biobase","exprSet"
"Biobase","ScalarObject"
"Biobase","ScalarLogical"
"Biobase","ScalarCharacter"
"Biobase","ScalarInteger"
"Biobase","ScalarNumeric"
"Biobase","VersionsNull"
"Biobase","Versioned"
"Biobase","VersionedBiobase"
"Biobase","Versions"
"biobtreeR","bbConfig"
"Bioc.gff","GFFFile"
"Bioc.gff","GFF1File"
"Bioc.gff","GFF2File"
"Bioc.gff","GFF3File"
"Bioc.gff","GTFFile"
"Bioc.gff","GVFFile"
"Bioc.gff","UCSCFile"
"inst","A"
"BiocBaseUtils","A"
"BiocBook","BiocBook"
"inst","A"
"inst","A"
"inst","A"
"inst","A"
"BiocGenerics","OutOfMemoryObject"
"BiocIO","CSVFile"
"BiocIO","CompressedFile"
"BiocIO","GZFile"
"BiocIO","BGZFile"
"BiocIO","BZ2File"
"BiocIO","XZFile"
"BiocIO","CSVFile"
"tests","CSVFile"
"BiocNeighbors","BiocNeighborParam"
"BiocNeighbors","ExhaustiveParam"
"BiocNeighbors","KmknnParam"
"BiocNeighbors","VptreeParam"
"BiocNeighbors","AnnoyParam"
"BiocNeighbors","HnswParam"
"BiocNeighbors","BiocNeighborIndex"
"BiocNeighbors","BiocNeighborGenericIndex"
"BiocNeighbors","ExhaustiveIndex"
"BiocNeighbors","KmknnIndex"
"BiocNeighbors","VptreeIndex"
"BiocNeighbors","AnnoyIndex"
"BiocNeighbors","HnswIndex"
"inst","B"
"BiocParallel","TaskManager"
"BiocParallel","DoparParamManager"
"BiocParallel","SerialBackend"
"BiocParallel","SOCKmanager"
"BiocSet","GMTFile"
"BiocSet","OBOFile"
"BiocSet","OBOSet"
"BiocSingular","BiocSingularParam"
"BiocSingular","ExactParam"
"BiocSingular","IrlbaParam"
"BiocSingular","RandomParam"
"BiocSingular","FastAutoParam"
"BiocSingular","LowRankMatrixSeed"
"BiocSingular","LowRankMatrix"
"BiocSklearn","SkDecomp"
"biocViews","Htmlized"
"biocViews","PackageDetail"
"biocViews","pdAuthorMaintainerInfo"
"biocViews","pdVignetteInfo"
"biocViews","pdDownloadInfo"
"biocViews","pdDetailsInfo"
"biocViews","pdDescriptionInfo"
"biocViews","pdVigsAndDownloads"
"biocViews","RepositoryDetail"
"biocViews","rdPackageTable"
"biocViews","BiocView"
"biocViews","bvTitle"
"biocViews","bvPackageTable"
"biocViews","bvSubViews"
"biocViews","bvParentViews"
"biomformat","biom"
"BioMVCClass","GSE"
"BioMVCClass","graphModel"
"BioMVCClass","exprModel"
"BioMVCClass","gseModel"
"BioMVCClass","graphView"
"BioMVCClass","heatmapView"
"biomvRCNS","biomvRCNS"
"BioNAR","poweRlaw"
"BioQC","GmtList"
"BioQC","SignedGenesets"
"BioQC","BaseIndexList"
"BioQC","IndexList"
"BioQC","SignedIndexList"
"biosigner","biosign"
"Biostrings","MaskedXString"
"Biostrings","MaskedBString"
"Biostrings","MaskedDNAString"
"Biostrings","MaskedRNAString"
"Biostrings","MaskedAAString"
"Biostrings","MaskedXString"
"Biostrings","MaskedBString"
"Biostrings","MaskedDNAString"
"Biostrings","MaskedRNAString"
"Biostrings","MaskedAAString"
"Biostrings","MIndex"
"Biostrings","ByPos_MIndex"
"Biostrings","SparseMIndex"
"Biostrings","MultipleAlignment"
"Biostrings","DNAMultipleAlignment"
"Biostrings","RNAMultipleAlignment"
"Biostrings","AAMultipleAlignment"
"Biostrings","PreprocessedTB"
"Biostrings","Twobit"
"Biostrings","IntegerBAB"
"Biostrings","ACtree2"
"Biostrings","PDict3Parts"
"Biostrings","PDict"
"Biostrings","TB_PDict"
"Biostrings","MTB_PDict"
"Biostrings","Expanded_TB_PDict"
"Biostrings","QualityScaledXStringSet"
"Biostrings","QualityScaledBStringSet"
"Biostrings","QualityScaledDNAStringSet"
"Biostrings","QualityScaledRNAStringSet"
"Biostrings","QualityScaledAAStringSet"
"Biostrings","SparseList"
"Biostrings","XString"
"Biostrings","BString"
"Biostrings","DNAString"
"Biostrings","RNAString"
"Biostrings","AAString"
"Biostrings","XStringCodec"
"Biostrings","XStringQuality"
"Biostrings","PhredQuality"
"Biostrings","SolexaQuality"
"Biostrings","IlluminaQuality"
"Biostrings","XStringSet"
"Biostrings","BStringSet"
"Biostrings","DNAStringSet"
"Biostrings","RNAStringSet"
"Biostrings","AAStringSet"
"Biostrings","XStringSetList"
"Biostrings","BStringSetList"
"Biostrings","DNAStringSetList"
"Biostrings","RNAStringSetList"
"Biostrings","AAStringSetList"
"Biostrings","XStringViews"
"biscuiteer","CpGindex"
"BiSeq","BSrel"
"BiSeq","BSraw"
"bluster","AffinityParam"
"bluster","AgnesParam"
"bluster","BlusterParam"
"bluster","FixedNumberParam"
"bluster","HierarchicalParam"
"bluster","ClaraParam"
"bluster","DianaParam"
"bluster","DmmParam"
"bluster","HclustParam"
"bluster","KmeansParam"
"bluster","MbkmeansParam"
"bluster","SNNGraphParam"
"bluster","KNNGraphParam"
"bluster","PamParam"
